Subject	Entry
STQIIVLN4	deer
STQIIVLN4	elephant
STQIIVLN4	giraffe
STQIIVLN4	apes
STQIIVLN4	gorillas
STQIIVLN4	lions
STQIIVLN4	buffalo
STQIIVLN4	hippopotamus
STQIIVLN4	cougars
STQIIVLN4	puma
STQIIVLN4	horses
